name;time;/Axis/Settings/SPIND_MAX_VELO_G26;/Axis/Settings/SPIND_MAX_VELO_LIMS;/Axis/Settings/SPIND_MIN_VELO_G25;/Axis/Settings/WORKAREA_LIMIT_MINUS;/Axis/Settings/WORKAREA_LIMIT_PLUS;/Axis/Settings/WORKAREA_MINUS_ENABLE;/Axis/Settings/WORKAREA_PLUS_ENABLE;/Bag/State/opMode;/Bag/State/readyActive;/Bag/State/resetActive;/Channel/ChannelDiagnose/actCycleTimeBrut;/Channel/ChannelDiagnose/actCycleTimeNet;/Channel/ChannelDiagnose/aveCycleTimeNet;/Channel/ChannelDiagnose/cycleTime;/Channel/MachineAxis/measPos1;/Channel/MachineAxis/measPos2;/Nck/ChannelDiagnose/actCycleTimeBrut;/Nck/ChannelDiagnose/actCycleTimeNet;/Nck/ChannelDiagnose/actNckLoad;/Nck/ChannelDiagnose/aveCycleTimeNet;/Nck/ChannelDiagnose/aveNckLoad;/Nck/ChannelDiagnose/dpSlaveCfgOutputTime;/Nck/ChannelDiagnose/poweronTime;/Nck/ChannelDiagnose/setupTime;/Nck/ChannelDiagnose/sumCycleTimeNet;/Nck/ChannelDiagnose/taskCycleTime;/Nck/MachineAxis/aaAlarmStat;/Nck/MachineAxis/aaAxChangeStat;/Nck/MachineAxis/aaAxChangeTyp;/Nck/MachineAxis/status;/Nck/MachineAxis/toolBaseDistToGo;/Nck/MachineAxis/toolBaseREPOS
CNC7;1749612300993689700;1000;100;0;-100000000;100000000;1;1;0;1;0;0,191;0,191;0,178;0.036000000000000004;-825,1005;-825,10898;0,191;0,191;29.049999999999997;0,178;32.074999999999996;0;0;1800932;4,905482;2;0;0;0;3;0;-0,00029
CNC7;1749612305912309400;;;;;;;;;;;0.16399999999999998;0.16399999999999998;0,179;;-825,10056;-825,10906;0.16399999999999998;0.16399999999999998;31,625;0,179;32,25;;1;;5,357925;;;;;;;-0,00035
CNC7;1749612310910227300;;;;;;;;;;;;;0,178;;-825,1006;-825,10914;;;31;0,178;31.924999999999997;;;;5,818281;;;;;;;-0,00037
CNC7;1749612315909238600;;;;;;;;;;;0,187;0,187;0,18;;-825,10064;;0,187;0,187;29,125;0,18;32,5;;;1800933;6,270415;;;;;;;-0,00041
CNC7;1749612320908707300;;;;;;;;;;;0.19699999999999998;0.19699999999999998;;;-825,10068;-825,10922;0.19699999999999998;0,156;32.324999999999996;;32,25;;;;6,72466;;;;;;;-0,00047
CNC7;1749612326781524400;;;;;;;;;;;0,132;0,132;0,173;;-825,1007;;0,132;0,132;28.849999999999998;0,173;31.049999999999997;;;;7.165528999999999;;;;;;;-0,0005
CNC7;1749612331782837600;;;;;;;;;;;0,146;0,146;;;-825,10073;;0,146;0,146;32.199999999999996;;31,025;;;;7,60044;;;;;;;-0,00052
CNC7;1749612335907754100;;;;;;;;;;;0.16999999999999998;0.16999999999999998;;;-825,10075;-825,1093;0.16999999999999998;0.16999999999999998;29.049999999999997;;;;;;8,036878;;;;;;;-0,00054
CNC7;1749612340909239200;;;;;;;;;;;0.16399999999999998;0.16399999999999998;;;-825,10077;;0.16399999999999998;0.16399999999999998;29.974999999999998;;30.974999999999998;;;;8,461862;;;;;;;-0,00056
CNC7;1749612345910068800;;;;;;;;;;;0,181;0,181;;;-825,10079;;0,181;0,181;32,1;;31.049999999999997;;;;8,89621;;;;;;;-0,00058
CNC7;1749612350908490900;;;;;;;;;;;0,184;0,184;;;-825,10081;;0,184;0,184;30,15;;30.974999999999998;;;;9,331944;;;;;;;-0,0006
CNC7;1749612355907948700;;;;;;;;;;;0,219;0,219;0,172;;-825,10083;-825,10938;0,219;0,219;32.074999999999996;0,172;31;;;;9,766217;;;;;;;-0,00062
CNC7;1749612360907670200;;;;;;;;;;;0,146;0,146;;;-825,10085;;0,146;0,146;28,75;;;;;;10,192991;;;;;;;-0,00064
CNC7;1749612365907829000;;;;;;;;;;;0,186;0,186;;;;;0,186;0,186;29.299999999999997;;;;2;;10.627153999999999;;;;;;;
CNC7;1749612370907492100;;;;;;;;;;1;0.13899999999999998;0.13899999999999998;0,183;;-825,10083;;0.13899999999999998;0.13899999999999998;29.349999999999998;0,183;31.549999999999997;;;;11,074411;;;;;;;0
CNC7;1749612375907549400;;;;;;;;;;;0,154;0,154;0,186;;-825,10073;-825,10922;0,154;0,154;31.174999999999997;0,186;31,825;;;1800934;11.545736999999999;;;;;;;
CNC7;1749612380910879500;;;;;;;;;;;0,152;0,152;0,183;;-825,10085;-825,10938;0,152;0,152;30;0,183;31.299999999999997;;;;11.997577999999999;;;;;;;
CNC7;1749612385914344700;;;;;;;;;;;0.17099999999999999;0.17099999999999999;;;;;0.17099999999999999;0.17099999999999999;29.599999999999998;;;;;;12,45673;;;;;;;
CNC7;1749612390914379500;;;;;;;;;;;0,172;0,172;0,182;;;;0,172;0,172;29.099999999999998;0,182;31,275;;;;12,91687;;;;;;;
CNC7;1749612395915184800;;;;;;;;;;;0.17099999999999999;0.17099999999999999;0,185;;-825,10083;;0.17099999999999999;0.17099999999999999;28.849999999999998;0,185;31,45;;;;13,375193;;;;;;;
CNC7;1749612400913951500;;;;;;;;;;;0,21;0,21;;;-825,10085;;0,21;0,21;29,575;;31.474999999999998;;;;13,838438;;;;;;;
CNC7;1749612405914427700;;;;;;;;;;;0.17099999999999999;0.17099999999999999;0,184;;;;0.17099999999999999;0.17099999999999999;31,375;0,184;31,4;;;;14,298858;;;;;;;
CNC7;1749612410922062500;;;;;;;;;;;0.19399999999999998;0.19399999999999998;0,182;;;;0.19399999999999998;0.19399999999999998;28.974999999999998;0,182;31.349999999999998;;;;14.749061999999999;;;;;;;
CNC7;1749612415923686000;;;;;;;;;;;0,157;0,157;0,183;;-825,10087;;0,157;0,157;29,875;0,183;;;;;15.210443999999999;;;;;;;
CNC7;1749612420924493300;;;;;;;;;;;0,193;0,193;0,182;;-825,10085;;0,193;0,193;30,7;0,182;31.299999999999997;;;;15,670988;;;;;;;
CNC7;1749612425922346400;;;;;;;;;;;0,175;0,175;0,183;;;;0,175;0,175;34.449999999999996;0,183;31,375;;3;;16,131552;;;;;;;
CNC7;1749612430922057000;;;;;;;;;;;0,153;0,153;;;;;0,153;0,153;29,65;;31.349999999999998;;;;16,59294;;;;;;;
CNC7;1749612435921396200;;;;;;;;;;;0,208;0,208;;;;;0,208;0,208;30,075;;31.299999999999997;;;1800935;17,053994;;;;;;;
CNC7;1749612440925183400;;;;;;;;;;;0,153;0,153;;;;;0,153;0,153;32,35;;31,325;;;;17,505421;;;;;;;
CNC7;1749612445924144300;;;;;;;;;;;0.17099999999999999;0.17099999999999999;;;;;0.17099999999999999;0.17099999999999999;29,5;;31,4;;;;17,966122;;;;;;;
CNC7;1749612450925380400;;;;;;;;;;;0.16899999999999998;0.16899999999999998;;;;;0.16899999999999998;0.16899999999999998;29,25;;31,375;;;;18,426306;;;;;;;
CNC7;1749612455924447700;;;;;;;;;;;0,205;0,205;0,182;;;;0,205;0,205;29,7;0,182;31.299999999999997;;;;18,887361;;;;;;;
CNC7;1749612460924227700;;;;;;;;;;;0.17099999999999999;0.17099999999999999;0,183;;;;0.17099999999999999;0.17099999999999999;31,95;0,183;31,375;;;;19,347786;;;;;;;
CNC7;1749612465926095800;;;;;;;;;;;0,157;0,157;;;;;0,157;0,157;33,975;;;;;;19.799422999999997;;;;;;;
CNC7;1749612470924532500;;;;;;;;;;;0,161;0,161;;;;;0,161;0,161;33,225;;31,325;;;;20.259985999999998;;;;;;;
CNC7;1749612475924438900;;;;;;;;;;;0,172;0,172;;;;;0,172;0,172;33,15;;31.349999999999998;;;;20,720809;;;;;;;
